epoch,train_loss,train_accuracy
1,0.6624002069834164,0.605281207133059
2,0.599734409145289,0.6759259259259259
3,0.5709228059600433,0.7046753543667124
4,0.5460318171672891,0.7263946044810242
5,0.5224103370248945,0.7446273433927755
6,0.5076029393311174,0.757201646090535
7,0.4889732848791579,0.7698902606310014
8,0.47131209369660293,0.7784636488340192
9,0.46026788698253945,0.7892661179698217
10,0.4539103397394665,0.7903520804755373
11,0.4310735335243249,0.8032693187014175
12,0.4219725937795378,0.8078989483310471
13,0.4166457133548133,0.8123571101966164
14,0.40841816147785953,0.8160722450845908
15,0.40378989483582256,0.816986739826246
16,0.39120882128448764,0.8257315957933242
17,0.38416628498699806,0.8273319615912208
18,0.3763647563278784,0.8341335162322817
19,0.3734340994896357,0.8353909465020576
20,0.3666723122380987,0.8432213077274806
